  dataset        a v_pure_gain       t0      szr       sv      st0 v_pure_mixed v_pure_loss  penalty      fit     time   method
       75   1.4103   2.0811   0.6726   0.7714   0.5567   0.3439   1.6456   2.0152   0.0000  50.9325  37.2760       ML
       76   1.3926   3.3321   0.4473   0.0002   1.0315   0.1867   0.4358   1.2194   0.0000  38.8357   3.1740       ML
       77   2.6556   2.2752   0.3716   0.0001   1.2886   0.0005   1.5535   2.6806   0.0000  99.0167   0.6240       ML
       78   1.9652   2.7317   0.5942   0.8042   0.6729   0.0995   0.7530  -2.0599   0.0000  82.3625   7.2260       ML
       79   1.8668   3.0790   0.7349   0.0005   0.7143   0.3691   1.3517   2.5990   0.0000  34.2816   4.5320       ML
        8   2.1246   1.8344   0.5834   0.0001   1.9091   0.4693   1.0028   7.5842   0.0000  66.4334   8.5910       ML
       81   2.6846   2.4626   0.7097   0.0000   1.1638   0.5553   1.3873   3.2668   0.0000 102.3985   9.4640       ML
       82   1.7633   1.0158   0.4415   0.0016   0.6093   0.1400   0.5765   1.6758   0.0000 112.0037   4.2930       ML
       83   1.4551   2.0920   0.5049   0.6859   0.5598   0.1089   0.3150   1.2891   0.0000  59.9199   8.1840       ML
       85   1.5529   5.8148   1.0489   1.0000   3.7169   0.9809   3.2676   6.1521   0.0000 101.6171  75.5260       ML
       86   2.2892   1.1670   0.8448   0.0000   0.3717   0.4581   0.8896   1.0076   0.0000 158.0819   6.2690       ML
       87   3.1648   1.4459   0.7453   0.6340   0.0003   0.2644   2.3077   1.7809   0.0000 108.2780  15.0710       ML
       88   2.2434   0.8590   0.7712   0.6922   0.0002   0.2428   0.4132   1.0909   0.0000 177.0747  21.0700       ML
       89   2.4936   3.1434   0.5207   0.0001   0.0009   0.5747   0.9052   1.4438   0.0000 101.8223   6.6700       ML
        9   2.5081   1.0897   0.4793   0.6387   0.1145   0.1558   0.8308   1.4845   0.0000 146.8649  11.8540       ML
       90   1.1642   2.9338   0.4636   0.8738   0.0862   0.2931   0.2325   1.2850   0.0000  40.4634  51.2520       ML
       91   1.7249   5.3049   0.7728   0.0002   1.9792   0.4760   2.5322   5.3752   0.0000   2.9566   7.9580       ML
       92   3.4723   1.7129   0.8333   0.0000   0.2364   0.4883   0.9627   2.1561   0.0000 105.2013  14.0150       ML
       93   1.8810   4.5633   0.7851   0.7653   1.8540   0.4725   2.7230   4.7707   0.0000  28.6429  47.6800       ML
       94   2.7882   2.7224   0.5659   0.0002   1.2063   0.3209   1.8603   2.3765   0.0000  92.0744   5.7080       ML
       95   1.9479   5.3885   0.7632   0.0063   7.7010   0.5591   4.0086  10.7983   0.0000  77.1809  16.0360       ML
       96   2.5667   1.2327   0.2903   0.0007   6.1095   0.1259  -0.5088   1.6464   0.0000 116.8258   3.6120       ML
       97   1.7763   3.3575   0.7663   0.0005   1.4926   0.5362   0.2983   1.9594   0.0000 105.5673   7.3350       ML
       98   1.9301   2.4071   1.4358   0.0002   0.0002   1.6538   0.9301   0.3736   0.0000 160.0153  16.1140       ML
       99   1.1415   2.2414   0.7092   0.0000   0.7179   0.4481   0.9031   0.8423   0.0000  51.5874  11.5170       ML
