  dataset a_pure_gain v_pure_gain       t0      st0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
       86   2.2149   1.0532   0.8362   0.4173   2.4190   0.8852   2.1075   0.8641   0.0000 157.3211   0.9890       ML
       87   3.1179   1.3158   0.6395   0.2793   2.6029   1.6562   2.8378   1.4155   0.0000 108.6169   0.7620       ML
       88   2.4223   0.7753   0.6748   0.1797   1.7752   0.2838   2.3369   1.0265   0.0000 171.5355   0.5680       ML
       89   2.6679   3.2894   0.5134   0.5738   2.5815   0.9308   2.3935   1.3784   0.0000 101.5779   1.8150       ML
        9   1.8328   0.7051   0.3900   0.0002   2.8740   0.8334   3.0139   1.5772   0.0000 134.8807   0.1330       ML
       90   0.8981   1.6550   0.3958   0.2317   0.9362   0.1715   1.5372   1.2184   0.0000  28.7263   0.5560       ML
       91   1.6385   3.3708   0.7290   0.4118   1.5365   1.3198   1.2557   2.8250   0.0000   4.5864   1.2930       ML
       92   3.1800   1.6690   0.8971   0.6164   3.5635   1.0299   2.7171   1.7977   0.0000 104.3773   4.8960       ML
       93   1.4845   2.2997   0.7148   0.4341   1.6505   1.5251   1.3482   2.0640   0.0000  30.3442   1.1250       ML
       94   2.1777   1.5870   0.5461   0.2330   2.3261   1.0907   2.0872   1.2991   0.0000  99.4292   0.5940       ML
       95   1.2303   1.0126   0.5948   0.2595   1.7307   0.7181   1.0884   1.7714   0.0000  70.1391   0.8080       ML
       96   1.3510   0.2630   0.2658   0.0598   1.5885  -0.0002   1.3572   0.2991   0.0000 129.7572   0.2320       ML
       97   1.4296   2.0492   0.7402   0.4933   1.6017   0.2295   1.6203   1.1346   0.0000 107.1537   1.4230       ML
       98   1.5843   1.9595   1.3206   1.3610   2.3474   0.9194   2.1543   0.3534   0.0000 157.1012   3.2330       ML
       99   0.8821   2.2427   0.7721   0.6337   1.0318   0.8987   0.8882   0.9801   0.0000  55.1522   1.7080       ML
