  dataset        a v_mixed_gain t0_mixed_gain      st0 v_mixed_loss t0_mixed_loss  penalty      fit     time   method
       90   0.7279  -0.0003   0.3402   0.0652   0.0004   0.3316   0.0000 -33.9595   0.1170       ML
       91   1.6240   0.0550   0.6514   0.3046   0.1436   0.6021   0.0000 118.5183   0.3670       ML
       92   1.8850   0.0903   0.9371   0.8548   0.0004   0.8807   0.0000 136.4522   0.8380       ML
       93   1.1766   0.1604   0.3472   0.0638  -0.0003   0.3010   0.0000  53.4001   0.1380       ML
       94   2.1187  -0.1450   0.7622   0.8819   0.1807   1.0934   0.0000 127.3988   0.6940       ML
       95   1.4630   0.1195   0.2382   0.1148   0.1464   0.5152   0.0000  94.1800   0.2270       ML
       96   1.5669  -0.0671   0.5741   0.0903   0.0243   0.4617   0.0000 103.5121   0.2140       ML
       97   1.6264   0.2769   0.6729   0.0003   0.1801   0.6015   0.0000 107.5823   0.1090       ML
       98   0.7560   0.2938   2.3928   1.8290  -0.1663   2.3835   0.0000  81.7846   1.0720       ML
       99   1.3717   0.1443   0.8030   0.5182   0.3177   0.8001   0.0000 101.1403   0.5540       ML
