  dataset a_mixed_gain v_mixed_gain       t0      szr       sv      st0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
        8   1.2200  -0.0001   0.7903   0.0002   0.0006   0.5072   1.9079   0.2257   0.0000 117.1833   6.0130       ML
       81   2.0084   0.0541   0.5769   0.4826   0.3643   0.0001   2.0165   0.0209   0.0000 145.1546   2.7790       ML
       82   2.3770   0.2370   0.3893   0.0007   1.3712   0.1767   1.7355  -0.4085   0.0000 119.6495   2.2930       ML
       83   1.6978   0.4555   0.6308   0.5480   0.2061   0.2722   2.0099   0.1790   0.0000 129.6789  13.5820       ML
       85   1.4619   0.2234   0.4186   0.0002   3.9504   0.1030   2.1325  -0.4179   0.0000  57.7126   1.4490       ML
       86   1.5329   0.1126   0.9640   0.0003   0.1616   0.8865   2.2166   0.1524   0.0000 136.2977   7.0930       ML
       87   2.4058   0.5557   0.4310   0.0009   0.0021   0.1616   1.1224   0.1562   0.0000  86.1517   2.5510       ML
       88   2.7858   0.0943   0.6151   0.0004   0.5736   0.3205   1.9356  -0.0853   0.0000 138.0863   2.5090       ML
       89   3.3940   0.2273   0.3775   0.0000   0.6721   0.0004   1.7632  -0.0056   0.0000 121.8523   0.6690       ML
        9   1.6926   0.0562   0.4059   0.4308   0.0002   0.1281   1.7711  -0.0933   0.0000 116.8041  10.8010       ML
       90   0.8966  -0.2313   0.3664   0.9988   0.4523   0.0880   0.5820  -0.0612   0.0000 -43.6853   6.6950       ML
       91   1.7823   0.1593   0.6363   0.0002   1.1815   0.3797   1.8057   0.2739   0.0000 118.7666   7.9060       ML
       92   1.7696   0.0967   0.9710   0.4495   0.2665   0.9315   2.0075  -0.0028   0.0000 135.9009  29.6350       ML
       93   1.5829   0.3857   0.3941   0.8663   0.8195   0.0683   0.9676   0.0770   0.0000  38.2240   9.2810       ML
       94   0.1232  -3.0978   1.9891   0.5573   1.2765   2.7526   0.8595   0.5858   0.0000 117.4937 114.1300       ML
       95   0.7391   0.1088   0.3579   0.0012   0.6369   0.0867   2.2041   0.2234   0.0000  57.5866   0.9780       ML
       96   1.3751  -0.0872   0.7227   0.9698   0.4664   0.4342   1.7373  -0.0266   0.0000 101.1927  48.2580       ML
       97   1.8658   0.3373   0.6755   0.5637   0.0012   0.0002   1.5034   0.2405   0.0000 106.3890   1.9930       ML
       98   0.7097   0.4166   2.4344   0.8558   0.3027   1.7862   0.7465  -0.1097   0.0000  78.7508  27.6940       ML
       99   1.2648   0.4558   0.9348   0.9724   0.0001   0.5427   1.5638   0.2347   0.0000  94.9719  37.3030       ML
