"participant","a","v_mixed_gain","t0","szr","sv","st0","v_mixed_loss","penalty","fit","time","method","n_trials","BIC","model_variant","v","t0_mixed_gain","t0_mixed_loss","a_mixed_gain","a_mixed_loss"
39,1.358,NA,0.303,NA,NA,NA,NA,0,71.9649,0.002,"ML",96,157.622844574404,"model10",0.2816,NA,NA,NA,NA
40,1.5687,NA,0.2267,NA,NA,NA,NA,0,108.792,0.002,"ML",96,231.277044574404,"model10",-0.0262,NA,NA,NA,NA
41,1.888,NA,0.4961,NA,NA,NA,NA,0,137.836,0.002,"ML",93,289.26979847946,"model10",0.1009,NA,NA,NA,NA
42,1.7071,NA,0.3699,NA,NA,NA,NA,0,105.4523,0.003,"ML",92,224.469965731147,"model10",0.0275,NA,NA,NA,NA
44,1.3724,NA,0.2467,NA,NA,NA,NA,0,78.8319,0.002,"ML",96,171.356844574404,"model10",0.0608,NA,NA,NA,NA
45,1.3016,NA,0.2636,NA,NA,NA,NA,0,66.4049,0.003,"ML",96,146.502844574403,"model10",0.1298,NA,NA,NA,NA
46,1.8708,NA,0.3715,NA,NA,NA,NA,0,132.7775,0.002,"ML",96,279.248044574404,"model10",0.0457,NA,NA,NA,NA
47,2.0556,NA,0.3414,NA,NA,NA,NA,0,139.7533,0.003,"ML",93,293.10439847946,"model10",0.2561,NA,NA,NA,NA
48,1.6977,NA,0.5358,NA,NA,NA,NA,0,117.1025,0.002,"ML",94,247.83488434681,"model10",0.0244,NA,NA,NA,NA
49,1.3443,NA,0.3739,NA,NA,NA,NA,0,73.5171,0.002,"ML",96,160.727244574403,"model10",0.2177,NA,NA,NA,NA
5,1.566,NA,0.4473,NA,NA,NA,NA,0,101.7661,0.002,"ML",94,217.16208434681,"model10",1e-04,NA,NA,NA,NA
50,1.5371,NA,0.4045,NA,NA,NA,NA,0,97.2033,0.002,"ML",95,208.068230674802,"model10",-0.0136,NA,NA,NA,NA
51,1.7398,NA,0.3721,NA,NA,NA,NA,0,122.5857,0.002,"ML",95,258.833030674802,"model10",0.0601,NA,NA,NA,NA
52,2.3055,NA,0.4463,NA,NA,NA,NA,0,163.4751,0.002,"ML",90,340.449629010991,"model10",0.1376,NA,NA,NA,NA
53,1.8703,NA,0.2989,NA,NA,NA,NA,0,130.9864,0.002,"ML",91,275.505378519551,"model10",-0.1283,NA,NA,NA,NA
54,1.9583,NA,0.4307,NA,NA,NA,NA,0,139.2637,0.002,"ML",94,292.15728434681,"model10",0.1118,NA,NA,NA,NA
55,1.3811,NA,0.5047,NA,NA,NA,NA,0,73.952,0.003,"ML",96,161.597044574403,"model10",0.2182,NA,NA,NA,NA
56,1.1738,NA,0.3264,NA,NA,NA,NA,0,51.0236,0.003,"ML",94,115.67708434681,"model10",-0.0704,NA,NA,NA,NA
57,1.3744,NA,0.3595,NA,NA,NA,NA,0,83.0285,0.002,"ML",96,179.750044574403,"model10",-5e-04,NA,NA,NA,NA
58,1.8298,NA,0.2498,NA,NA,NA,NA,0,127.8054,0.002,"ML",94,269.24068434681,"model10",0.0708,NA,NA,NA,NA
6,1.6928,NA,0.2162,NA,NA,NA,NA,0,109.7885,0.002,"ML",89,233.042909109196,"model10",-0.0668,NA,NA,NA,NA
60,1.4041,NA,0.2474,NA,NA,NA,NA,0,13.7938,0.001,"ML",15,35.7117506033066,"model10",0.2719,NA,NA,NA,NA
61,2.0418,NA,0.539,NA,NA,NA,NA,0,141.7712,0.002,"ML",96,297.235444574404,"model10",0.1554,NA,NA,NA,NA
62,1.7273,NA,0.341,NA,NA,NA,NA,0,122.7018,0.003,"ML",96,259.096644574404,"model10",0.0242,NA,NA,NA,NA
63,1.942,NA,0.4034,NA,NA,NA,NA,0,131.2828,0.002,"ML",96,276.258644574404,"model10",0.0944,NA,NA,NA,NA
64,2.2685,NA,0.2349,NA,NA,NA,NA,0,154.7199,0.002,"ML",85,322.767753769471,"model10",0.0727,NA,NA,NA,NA
65,1.4678,NA,0.4825,NA,NA,NA,NA,0,88.8247,0.003,"ML",96,191.342444574404,"model10",0.1725,NA,NA,NA,NA
66,1.8559,NA,0.3615,NA,NA,NA,NA,0,133.8427,0.002,"ML",94,281.31528434681,"model10",-3e-04,NA,NA,NA,NA
67,1.2812,NA,0.3898,NA,NA,NA,NA,0,66.1032,0.002,"ML",96,145.899444574404,"model10",0.097,NA,NA,NA,NA
68,2.1414,NA,0.4092,NA,NA,NA,NA,0,146.8354,0.002,"ML",90,307.170229010991,"model10",0.2567,NA,NA,NA,NA
69,1.5281,NA,0.273,NA,NA,NA,NA,0,98.8332,0.003,"ML",94,211.29628434681,"model10",0.1094,NA,NA,NA,NA
7,2.0859,NA,0.6592,NA,NA,NA,NA,0,129.5777,0.002,"ML",80,272.301479904022,"model10",-0.0735,NA,NA,NA,NA
70,2.0284,NA,0.3526,NA,NA,NA,NA,0,134.0413,0.002,"ML",83,281.33912182339,"model10",-0.0119,NA,NA,NA,NA
71,1.5051,NA,0.4719,NA,NA,NA,NA,0,85.8455,0.002,"ML",96,185.384044574404,"model10",0.4072,NA,NA,NA,NA
72,1.5451,NA,0.3069,NA,NA,NA,NA,0,99.2007,0.002,"ML",93,211.99919847946,"model10",0.0417,NA,NA,NA,NA
74,2.1321,NA,0.5988,NA,NA,NA,NA,0,152.8171,0.002,"ML",95,319.295830674802,"model10",0.0312,NA,NA,NA,NA
75,1.754,NA,0.4102,NA,NA,NA,NA,0,124.8004,0.001,"ML",96,263.293844574404,"model10",0.0232,NA,NA,NA,NA
76,1.1741,NA,0.2848,NA,NA,NA,NA,0,45.3341,0.002,"ML",96,104.361244574404,"model10",0.0363,NA,NA,NA,NA
77,1.9992,NA,0.2264,NA,NA,NA,NA,0,144.039,0.002,"ML",91,301.610578519551,"model10",0.0106,NA,NA,NA,NA
78,1.196,NA,0.362,NA,NA,NA,NA,0,46.5323,0.003,"ML",96,106.757644574404,"model10",0.1079,NA,NA,NA,NA
79,2.0521,NA,0.4679,NA,NA,NA,NA,0,147.1703,0.003,"ML",95,308.002230674802,"model10",0.16,NA,NA,NA,NA
8,1.8697,NA,0.5757,NA,NA,NA,NA,0,131.1954,0.002,"ML",96,276.083844574404,"model10",0.1162,NA,NA,NA,NA
81,1.9497,NA,0.5234,NA,NA,NA,NA,0,145.3655,0.003,"ML",96,304.424044574404,"model10",0.0212,NA,NA,NA,NA
82,1.8287,NA,0.346,NA,NA,NA,NA,0,126.3972,0.002,"ML",92,266.359765731147,"model10",-0.0483,NA,NA,NA,NA
